filename,field,question,regex_answer,qa_answer,qa_score,agree,chosen_answer,chosen_source,service_type,current_charges,null_file
102604434.html,offense_duration,Як довго тривав злочин?,,,0.5262987017631531,False,,,Contract,,
102604434.html,fine_amount,Скільки гривень штрафу накладено?,, 2465,0.766560971736908,False, 2465,qa,Contract,,
102604434.html,court_name,Як називається суд?,Надіслано судом: 20, Васильківський міськрайонний суд Київської області,0.628602147102356,False,Надіслано судом: 20,regex,Contract,,
124549986.html,offense_date,"Якого дня, місяця та року відбувся злочин?",21 січня 2025 року, 06 січня,0.37863150238990784,False,21 січня 2025 року,regex,N/A,,
124549986.html,military_unit,Яка військова частина розглядається у справі?,Військової частини НОМЕР_1, Військової частини НОМЕР_1,0.710274875164032,True,Військової частини НОМЕР_1,regex,N/A,,
124549986.html,occupation,Яка посада військовослужбовця?,, старший солдат,0.7677518129348755,False, старший солдат,qa,N/A,,
124549986.html,military_rank,Яке звання військовослужбовця?,солдат, старший солдат,0.9711143374443054,False,солдат,regex,N/A,,
124549986.html,offense_duration,Як довго тривав злочин?,,,0.4010629653930664,False,,,N/A,,
124549986.html,fine_amount,Скільки гривень штрафу накладено?,," 17 000,00",0.5536966323852539,False," 17 000,00",qa,N/A,,
124549986.html,court_name,Як називається суд?,Надіслано судом: 21, Дніпропетровського районного суду Дніпропетровської області,0.5052343606948853,False,Надіслано судом: 21,regex,N/A,,
115954742.html,offense_date,"Якого дня, місяця та року відбувся злочин?",01.01.2019,,0.4333491623401642,False,01.01.2019,regex,N/A,,Yes
115954742.html,military_unit,Яка військова частина розглядається у справі?,,,0.8733885884284973,False,,,N/A,,Yes
115954742.html,occupation,Яка посада військовослужбовця?,,,0.9505419731140137,False,,,N/A,,Yes
115954742.html,military_rank,Яке звання військовослужбовця?,,,0.953035295009613,False,,,N/A,,Yes
115954742.html,offense_duration,Як довго тривав злочин?,,,0.963241696357727,False,,,N/A,,Yes
115954742.html,fine_amount,Скільки гривень штрафу накладено?,,,0.9332771897315979,False,,,N/A,,Yes
115954742.html,court_name,Як називається суд?,Надіслано судом: 27,,0.9552971720695496,False,Надіслано судом: 27,regex,N/A,,Yes
108373413.html,offense_date,"Якого дня, місяця та року відбувся злочин?",11 січня 2023 року, 20.11.2022,0.7171186208724976,False,11 січня 2023 року,regex,Mobilisation,,
108373413.html,military_unit,Яка військова частина розглядається у справі?,, 2 стрілецького батальйону,0.17718900740146637,False,,,Mobilisation,,
108373413.html,occupation,Яка посада військовослужбовця?,, Солдат,0.9093658924102783,False, Солдат,qa,Mobilisation,,
108373413.html,military_rank,Яке звання військовослужбовця?,солдат, Солдат,0.9203793406486511,True,солдат,regex,Mobilisation,,
108373413.html,offense_duration,Як довго тривав злочин?,,,0.6316669583320618,False,,,Mobilisation,,
108373413.html,fine_amount,Скільки гривень штрафу накладено?,," 2465,00",0.6365223526954651,False," 2465,00",qa,Mobilisation,,
108373413.html,court_name,Як називається суд?,Надіслано судом: 13, Буського районного суду Львівської області,0.5446768403053284,False,Надіслано судом: 13,regex,Mobilisation,,
120590086.html,offense_date,"Якого дня, місяця та року відбувся злочин?",24 лютого 2022 року, 25.06.2024,0.47965723276138306,False,24 лютого 2022 року,regex,Mobilisation,,
120590086.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, НОМЕР_1,0.6657519936561584,True,військової частини НОМЕР_1,regex,Mobilisation,,
120590086.html,occupation,Яка посада військовослужбовця?,, солдат кухар,0.7740342020988464,False, солдат кухар,qa,Mobilisation,,
120590086.html,military_rank,Яке звання військовослужбовця?,лейтенант, солдат кухар,0.7727901339530945,False,лейтенант,regex,Mobilisation,,
120590086.html,offense_duration,Як довго тривав злочин?,,,0.7606183290481567,False,,,Mobilisation,,
120590086.html,fine_amount,Скільки гривень штрафу накладено?,,,0.5154873728752136,False,,,Mobilisation,,
120590086.html,court_name,Як називається суд?,Надіслано судом: 25, В.В. Лазаренко,0.47040489315986633,False,Надіслано судом: 25,regex,Mobilisation,,
109835762.html,offense_date,"Якого дня, місяця та року відбувся злочин?",28 березня 2023 року, 28 березня,0.3130786716938019,False,28 березня 2023 року,regex,Mobilisation,,
109835762.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_2, НОМЕР_2,0.7401251196861267,True,військової частини НОМЕР_2,regex,Mobilisation,,
109835762.html,occupation,Яка посада військовослужбовця?,сержанта резерву," сержанта резерву,",0.8858916163444519,False,сержанта резерву,regex,Mobilisation,,
109835762.html,military_rank,Яке звання військовослужбовця?,майор," сержанта резерву,",0.8173333406448364,False,майор,regex,Mobilisation,,
109835762.html,offense_duration,Як довго тривав злочин?,,,0.7210186123847961,False,,,Mobilisation,,
109835762.html,fine_amount,Скільки гривень штрафу накладено?,,,0.48661690950393677,False,,,Mobilisation,,
109835762.html,court_name,Як називається суд?,Надіслано судом: 28, Тростянецького районного суду,0.4863004684448242,False,Надіслано судом: 28,regex,Mobilisation,,
104951167.html,offense_date,"Якого дня, місяця та року відбувся злочин?",21 червня 2022 року,,0.07749229669570923,False,21 червня 2022 року,regex,Mobilisation,,
104951167.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_3, НОМЕР_3,0.4641072452068329,True,військової частини НОМЕР_3,regex,Mobilisation,,
104951167.html,occupation,Яка посада військовослужбовця?,," солдата військової частини НОМЕР_3,",0.5042724609375,False," солдата військової частини НОМЕР_3,",qa,Mobilisation,,
104951167.html,military_rank,Яке звання військовослужбовця?,солдат," стрілця -зенітника,",0.3087715804576874,False,солдат,regex,Mobilisation,,
104951167.html,offense_duration,Як довго тривав злочин?,,,0.6020907163619995,False,,,Mobilisation,,
104951167.html,fine_amount,Скільки гривень штрафу накладено?,, 2 465,0.5795525908470154,False, 2 465,qa,Mobilisation,,
104951167.html,court_name,Як називається суд?,Надіслано судом: 27, Коломийський міськрайонний суд Івано-Франківської області,0.28669658303260803,False,Надіслано судом: 27,regex,Mobilisation,,
104618376.html,offense_date,"Якого дня, місяця та року відбувся злочин?",01 червня 2022 року, 01 червня,0.44577980041503906,False,01 червня 2022 року,regex,Mobilisation,,
104618376.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, НОМЕР_1,0.7638864517211914,True,військової частини НОМЕР_1,regex,Mobilisation,,
104618376.html,occupation,Яка посада військовослужбовця?,, солдата,0.5712063312530518,False, солдата,qa,Mobilisation,,
104618376.html,military_rank,Яке звання військовослужбовця?,солдат, солдата,0.48826906085014343,False,солдат,regex,Mobilisation,,
104618376.html,offense_duration,Як довго тривав злочин?,," до десяти діб,",0.7332988977432251,False," до десяти діб,",qa,Mobilisation,,
104618376.html,fine_amount,Скільки гривень штрафу накладено?,,,0.40337979793548584,False,,,Mobilisation,,
104618376.html,court_name,Як називається суд?,Надіслано судом: 06, Берегівського районного суду Закарпатської області,0.4536231756210327,False,Надіслано судом: 06,regex,Mobilisation,,
106673960.html,offense_date,"Якого дня, місяця та року відбувся злочин?",01.01.2019,,0.7775865197181702,False,01.01.2019,regex,N/A,,Yes
106673960.html,military_unit,Яка військова частина розглядається у справі?,,,0.9018895030021667,False,,,N/A,,Yes
106673960.html,occupation,Яка посада військовослужбовця?,,,0.9549612402915955,False,,,N/A,,Yes
106673960.html,military_rank,Яке звання військовослужбовця?,,,0.9570557475090027,False,,,N/A,,Yes
106673960.html,offense_duration,Як довго тривав злочин?,,,0.9608466029167175,False,,,N/A,,Yes
106673960.html,fine_amount,Скільки гривень штрафу накладено?,,,0.9347290396690369,False,,,N/A,,Yes
106673960.html,court_name,Як називається суд?,Надіслано судом: 10,,0.956780195236206,False,Надіслано судом: 10,regex,N/A,,Yes
107342763.html,offense_date,"Якого дня, місяця та року відбувся злочин?",03 листопада 2022 року, 03.11.2022,0.4674849808216095,False,03 листопада 2022 року,regex,Mobilisation,,
107342763.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, НОМЕР_1,0.8696878552436829,True,військової частини НОМЕР_1,regex,Mobilisation,,
107342763.html,occupation,Яка посада військовослужбовця?,," солдат стрілець 3 взводу 1 стрілецької роти,",0.4382133483886719,False," солдат стрілець 3 взводу 1 стрілецької роти,",qa,Mobilisation,,
107342763.html,military_rank,Яке звання військовослужбовця?,солдат, солдат стрілець,0.671124279499054,False,солдат,regex,Mobilisation,,
107342763.html,offense_duration,Як довго тривав злочин?,,,0.5229097604751587,False,,,Mobilisation,,
107342763.html,fine_amount,Скільки гривень штрафу накладено?,, 2465.00,0.34291693568229675,False, 2465.00,qa,Mobilisation,,
107342763.html,court_name,Як називається суд?,Надіслано судом: 16, Долинського районного суду,0.3675268888473511,False,Надіслано судом: 16,regex,Mobilisation,,
115678453.html,offense_date,"Якого дня, місяця та року відбувся злочин?",07 грудня 2023 року, 07 грудня,0.6134120225906372,False,07 грудня 2023 року,regex,N/A,,
115678453.html,military_unit,Яка військова частина розглядається у справі?,Військової частини НОМЕР_1, 2 танкової роти,0.435558021068573,False,Військової частини НОМЕР_1,regex,N/A,,
115678453.html,occupation,Яка посада військовослужбовця?,старшого механіка-водія 1 танкового взводу 2 танкової роти танкового батальйону, старшого механіка-водія,0.8483239412307739,False,старшого механіка-водія 1 танкового взводу 2 танкової роти танкового батальйону,regex,N/A,,
115678453.html,military_rank,Яке звання військовослужбовця?,солдат, старшого механіка-водія,0.19819322228431702,False,солдат,regex,N/A,,
115678453.html,offense_duration,Як довго тривав злочин?,, (2 дні).,0.6890252828598022,False, (2 дні).,qa,N/A,,
115678453.html,fine_amount,Скільки гривень штрафу накладено?,,,0.48796766996383667,False,,,N/A,,
115678453.html,court_name,Як називається суд?,Надіслано судом: 15, Шевченківського районного суду,0.2684101164340973,False,Надіслано судом: 15,regex,N/A,,
110988012.html,offense_date,"Якого дня, місяця та року відбувся злочин?",18 травня 2023 року, 16.05.2023,0.46517449617385864,False,18 травня 2023 року,regex,N/A,,
110988012.html,military_unit,Яка військова частина розглядається у справі?,,,0.21796663105487823,False,,,N/A,,
110988012.html,occupation,Яка посада військовослужбовця?,,,0.5601728558540344,False,,,N/A,,
110988012.html,military_rank,Яке звання військовослужбовця?,капітан, капітана,0.37865138053894043,False,капітан,regex,N/A,,
110988012.html,offense_duration,Як довго тривав злочин?,,,0.439316064119339,False,,,N/A,,
110988012.html,fine_amount,Скільки гривень штрафу накладено?,,,0.3982941210269928,False,,,N/A,,
110988012.html,court_name,Як називається суд?,Надіслано судом: 22, Прилуцький міськрайонний суд Чернігівської області,0.6652559041976929,False,Надіслано судом: 22,regex,N/A,,
107589294.html,offense_date,"Якого дня, місяця та року відбувся злочин?",29 листопада 2022 року, 17 листопада,0.15472367405891418,False,29 листопада 2022 року,regex,Mobilisation,,
107589294.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, НОМЕР_1,0.41232621669769287,True,військової частини НОМЕР_1,regex,Mobilisation,,
107589294.html,occupation,Яка посада військовослужбовця?,, старшого солдата,0.9564923048019409,False, старшого солдата,qa,Mobilisation,,
107589294.html,military_rank,Яке звання військовослужбовця?,лейтенант, старшого солдата,0.939981997013092,False,лейтенант,regex,Mobilisation,,
107589294.html,offense_duration,Як довго тривав злочин?,,,0.5769563317298889,False,,,Mobilisation,,
107589294.html,fine_amount,Скільки гривень штрафу накладено?,, 2 465,0.7942768931388855,False, 2 465,qa,Mobilisation,,
107589294.html,court_name,Як називається суд?,Надіслано судом: 30, Оболонського районного суду м. Києва,0.4758894443511963,False,Надіслано судом: 30,regex,Mobilisation,,
110056063.html,offense_date,"Якого дня, місяця та року відбувся злочин?",01.01.2019,,0.7002653479576111,False,01.01.2019,regex,N/A,,
110056063.html,military_unit,Яка військова частина розглядається у справі?,,,0.8173630833625793,False,,,N/A,,
110056063.html,occupation,Яка посада військовослужбовця?,,,0.9248771071434021,False,,,N/A,,
110056063.html,military_rank,Яке звання військовослужбовця?,,,0.9246068596839905,False,,,N/A,,
110056063.html,offense_duration,Як довго тривав злочин?,,,0.9490724802017212,False,,,N/A,,
110056063.html,fine_amount,Скільки гривень штрафу накладено?,,,0.9054845571517944,False,,,N/A,,
110056063.html,court_name,Як називається суд?,Надіслано судом: 06,,0.9451605081558228,False,Надіслано судом: 06,regex,N/A,,
103342659.html,offense_date,"Якого дня, місяця та року відбувся злочин?",15 лютого 2022 року, 31.01.2022,0.5074293613433838,False,15 лютого 2022 року,regex,Contract,,
103342659.html,military_unit,Яка військова частина розглядається у справі?,Військової частини НОМЕР_1, Військової частини НОМЕР_1,0.5187519192695618,True,Військової частини НОМЕР_1,regex,Contract,,
103342659.html,occupation,Яка посада військовослужбовця?,," військовослужбовцем за контрактом,",0.2656882703304291,False," військовослужбовцем за контрактом,",qa,Contract,,
103342659.html,military_rank,Яке звання військовослужбовця?,штаб-сержант, лейтенантом,0.41513943672180176,False,штаб-сержант,regex,Contract,,
103342659.html,offense_duration,Як довго тривав злочин?,,,0.46088171005249023,False,,,Contract,,
103342659.html,fine_amount,Скільки гривень штрафу накладено?,, 2465,0.7246015071868896,False, 2465,qa,Contract,,
103342659.html,court_name,Як називається суд?,Надіслано судом: 17, Пирятинський районний суд Полтавської області,0.5128259658813477,False,Надіслано судом: 17,regex,Contract,,
103314039.html,offense_date,"Якого дня, місяця та року відбувся злочин?",01.01.2019, 15.02.2022смт.Доброслав,0.6697332859039307,False,01.01.2019,regex,Contract,172,
103314039.html,military_unit,Яка військова частина розглядається у справі?,, 1 зенітного ракетного дивізіону,0.7779849171638489,False, 1 зенітного ракетного дивізіону,qa,Contract,172,
103314039.html,occupation,Яка посада військовослужбовця?,," військової служби за контрактом,",0.5302892923355103,False," військової служби за контрактом,",qa,Contract,172,
103314039.html,military_rank,Яке звання військовослужбовця?,,,0.19895344972610474,False,,,Contract,172,
103314039.html,offense_duration,Як довго тривав злочин?,,,0.2860068380832672,False,,,Contract,172,
103314039.html,fine_amount,Скільки гривень штрафу накладено?,, 2550,0.6515495777130127,False, 2550,qa,Contract,172,
103314039.html,court_name,Як називається суд?,Надіслано судом: 16, Комінтернівського районного суду Одеської області,0.3779706358909607,False,Надіслано судом: 16,regex,Contract,172,
106686170.html,offense_date,"Якого дня, місяця та року відбувся злочин?",08 червня 2022 року, 08 червня,0.8019287586212158,False,08 червня 2022 року,regex,Contract,,
106686170.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, НОМЕР_1,0.5583855509757996,True,військової частини НОМЕР_1,regex,Contract,,
106686170.html,occupation,Яка посада військовослужбовця?,, солдатом,0.9696723818778992,False, солдатом,qa,Contract,,
106686170.html,military_rank,Яке звання військовослужбовця?,майор, солдатом,0.9457668662071228,False,майор,regex,Contract,,
106686170.html,offense_duration,Як довго тривав злочин?,,,0.2368307113647461,False,,,Contract,,
106686170.html,fine_amount,Скільки гривень штрафу накладено?,, 2465,0.6506786346435547,False, 2465,qa,Contract,,
106686170.html,court_name,Як називається суд?,Надіслано судом: 11, Тернопільського міськрайонного суду Тернопільської області,0.6591364145278931,False,Надіслано судом: 11,regex,Contract,,
120360334.html,offense_date,"Якого дня, місяця та року відбувся злочин?",01.01.2019,,0.17917336523532867,False,01.01.2019,regex,N/A,,
120360334.html,military_unit,Яка військова частина розглядається у справі?,,,0.6306627988815308,False,,,N/A,,
120360334.html,occupation,Яка посада військовослужбовця?,,,0.6750365495681763,False,,,N/A,,
120360334.html,military_rank,Яке звання військовослужбовця?,,,0.7147359848022461,False,,,N/A,,
120360334.html,offense_duration,Як довго тривав злочин?,,,0.7813958525657654,False,,,N/A,,
120360334.html,fine_amount,Скільки гривень штрафу накладено?,,,0.5197266936302185,False,,,N/A,,
120360334.html,court_name,Як називається суд?,Надіслано судом: 15, Нікопольського міськрайонного суду Дніпропетровської області,0.5258106589317322,False,Надіслано судом: 15,regex,N/A,,
109739929.html,offense_date,"Якого дня, місяця та року відбувся злочин?",16 серпня 2022 року, 09.09.2022,0.7816653847694397,False,16 серпня 2022 року,regex,Mobilisation,,
109739929.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, НОМЕР_1,0.5196730494499207,True,військової частини НОМЕР_1,regex,Mobilisation,,
109739929.html,occupation,Яка посада військовослужбовця?,командира відділення інженерної техніки інженерного взводу батальйону матеріальн, командира відділення інженерної техніки,0.16045892238616943,False,командира відділення інженерної техніки інженерного взводу батальйону матеріальн,regex,Mobilisation,,
109739929.html,military_rank,Яке звання військовослужбовця?,сержант, молодший сержант,0.5705416798591614,False,сержант,regex,Mobilisation,,
109739929.html,offense_duration,Як довго тривав злочин?,,,0.6142250299453735,False,,,Mobilisation,,
109739929.html,fine_amount,Скільки гривень штрафу накладено?,, 2 465,0.4869705140590668,False, 2 465,qa,Mobilisation,,
109739929.html,court_name,Як називається суд?,Надіслано судом: 23, Центрального районного суду м. Миколаєва,0.2961171865463257,False,Надіслано судом: 23,regex,Mobilisation,,
106659467.html,offense_date,"Якого дня, місяця та року відбувся злочин?",07 жовтня 2022 року, 29.09.2022,0.32694339752197266,False,07 жовтня 2022 року,regex,Mobilisation,,
106659467.html,military_unit,Яка військова частина розглядається у справі?,Військової частини НОМЕР_1, НОМЕР_1,0.8148442506790161,True,Військової частини НОМЕР_1,regex,Mobilisation,,
106659467.html,occupation,Яка посада військовослужбовця?,, за мобілізацією,0.6409251093864441,False, за мобілізацією,qa,Mobilisation,,
106659467.html,military_rank,Яке звання військовослужбовця?,солдат, за мобілізацією,0.3768089711666107,False,солдат,regex,Mobilisation,,
106659467.html,offense_duration,Як довго тривав злочин?,,,0.332760214805603,False,,,Mobilisation,,
106659467.html,fine_amount,Скільки гривень штрафу накладено?,, 2465,0.859430193901062,False, 2465,qa,Mobilisation,,
106659467.html,court_name,Як називається суд?,Надіслано судом: 07, Білгород-Дністровського міськрайонного суду Одеської області,0.16912607848644257,False,Надіслано судом: 07,regex,Mobilisation,,
109187824.html,offense_date,"Якого дня, місяця та року відбувся злочин?",1 вересня 2021 року, 28.01.2023,0.29868319630622864,False,1 вересня 2021 року,regex,N/A,,
109187824.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, НОМЕР_4,0.70255446434021,False,військової частини НОМЕР_1,regex,N/A,,
109187824.html,occupation,Яка посада військовослужбовця?,," строкової служби,",0.37141793966293335,False," строкової служби,",qa,N/A,,
109187824.html,military_rank,Яке звання військовослужбовця?,солдат,,0.49736127257347107,False,солдат,regex,N/A,,
109187824.html,offense_duration,Як довго тривав злочин?,,,0.7297613024711609,False,,,N/A,,
109187824.html,fine_amount,Скільки гривень штрафу накладено?,,,0.2680996060371399,False,,,N/A,,
109187824.html,court_name,Як називається суд?,Надіслано судом: 24, Білоцерківського міськрайонного суду Київської області,0.7487564086914062,False,Надіслано судом: 24,regex,N/A,,
105722141.html,offense_date,"Якого дня, місяця та року відбувся злочин?",12 серпня 2022 року,,0.038475245237350464,False,12 серпня 2022 року,regex,Contract,,
105722141.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_2, НОМЕР_2,0.5860397219657898,True,військової частини НОМЕР_2,regex,Contract,,
105722141.html,occupation,Яка посада військовослужбовця?,, сержанта 16 запасної роти,0.6852207779884338,False, сержанта 16 запасної роти,qa,Contract,,
105722141.html,military_rank,Яке звання військовослужбовця?,майор, старший солдат,0.6429972648620605,False,майор,regex,Contract,,
105722141.html,offense_duration,Як довго тривав злочин?,,,0.5474633574485779,False,,,Contract,,
105722141.html,fine_amount,Скільки гривень штрафу накладено?,,,0.444908082485199,False,,,Contract,,
105722141.html,court_name,Як називається суд?,Надіслано судом: 15, Новомосковського міськрайонного суду Дніпропетровської області,0.5190613269805908,False,Надіслано судом: 15,regex,Contract,,
121318507.html,offense_date,"Якого дня, місяця та року відбувся злочин?",02 вересня 2024 року, 02 вересня,0.3566659092903137,False,02 вересня 2024 року,regex,Mobilisation,,
121318507.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, мотопіхотного батальйону,0.3630724549293518,False,військової частини НОМЕР_1,regex,Mobilisation,,
121318507.html,occupation,Яка посада військовослужбовця?,," солдат,",0.6447740793228149,False," солдат,",qa,Mobilisation,,
121318507.html,military_rank,Яке звання військовослужбовця?,солдат," солдат,",0.7198072671890259,False,солдат,regex,Mobilisation,,
121318507.html,offense_duration,Як довго тривав злочин?,,,0.28166183829307556,False,,,Mobilisation,,
121318507.html,fine_amount,Скільки гривень штрафу накладено?,," 8500,00",0.5663853287696838,False," 8500,00",qa,Mobilisation,,
