filename,question,answer,score
115678453.html,Яке звання військовослужбовця?, старшого механіка-водія,0.19819322228431702
115678453.html,Як довго тривав злочин?, (2 дні).,0.6890252828598022
115678453.html,Скільки гривень штрафу накладено?,,0.48796766996383667
110988012.html,"Якого дня, місяця та року відбувся злочин?", 16.05.2023,0.46517449617385864
110988012.html,Яка військова частина розглядається у справі?,,0.21796663105487823
110988012.html,Яка посада військовослужбовця?,,0.5601728558540344
110988012.html,Яке звання військовослужбовця?, капітана,0.37865138053894043
110988012.html,Як довго тривав злочин?,,0.439316064119339
110988012.html,Скільки гривень штрафу накладено?,,0.3982941210269928
107589294.html,"Якого дня, місяця та року відбувся злочин?", 17 листопада,0.15472367405891418
107589294.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.41232621669769287
107589294.html,Яка посада військовослужбовця?, старшого солдата,0.9564923048019409
107589294.html,Яке звання військовослужбовця?, старшого солдата,0.939981997013092
107589294.html,Як довго тривав злочин?,,0.5769563317298889
107589294.html,Скільки гривень штрафу накладено?, 2 465,0.7942768931388855
110056063.html,"Якого дня, місяця та року відбувся злочин?",,0.7002653479576111
110056063.html,Яка військова частина розглядається у справі?,,0.8173630833625793
110056063.html,Яка посада військовослужбовця?,,0.9248771071434021
110056063.html,Яке звання військовослужбовця?,,0.9246068596839905
110056063.html,Як довго тривав злочин?,,0.9490724802017212
110056063.html,Скільки гривень штрафу накладено?,,0.9054845571517944
103342659.html,"Якого дня, місяця та року відбувся злочин?", 31.01.2022,0.5074293613433838
103342659.html,Яка військова частина розглядається у справі?, Військової частини НОМЕР_1,0.5187519192695618
103342659.html,Яка посада військовослужбовця?," військовослужбовцем за контрактом,",0.2656882703304291
103342659.html,Яке звання військовослужбовця?, лейтенантом,0.41513943672180176
103342659.html,Як довго тривав злочин?,,0.46088171005249023
103342659.html,Скільки гривень штрафу накладено?, 2465,0.7246015071868896
103314039.html,"Якого дня, місяця та року відбувся злочин?", 15.02.2022смт.Доброслав,0.6697332859039307
103314039.html,Яка військова частина розглядається у справі?, 1 зенітного ракетного дивізіону,0.7779849171638489
103314039.html,Яка посада військовослужбовця?," військової служби за контрактом,",0.5302892923355103
103314039.html,Яке звання військовослужбовця?,,0.19895344972610474
103314039.html,Як довго тривав злочин?,,0.2860068380832672
103314039.html,Скільки гривень штрафу накладено?, 2550,0.6515495777130127
106686170.html,"Якого дня, місяця та року відбувся злочин?", 08 червня,0.8019287586212158
106686170.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.5583855509757996
106686170.html,Яка посада військовослужбовця?, солдатом,0.9696723818778992
106686170.html,Яке звання військовослужбовця?, солдатом,0.9457668662071228
106686170.html,Як довго тривав злочин?,,0.2368307113647461
106686170.html,Скільки гривень штрафу накладено?, 2465,0.6506786346435547
120360334.html,"Якого дня, місяця та року відбувся злочин?",,0.17917336523532867
120360334.html,Яка військова частина розглядається у справі?,,0.6306627988815308
120360334.html,Яка посада військовослужбовця?,,0.6750365495681763
120360334.html,Яке звання військовослужбовця?,,0.7147359848022461
120360334.html,Як довго тривав злочин?,,0.7813958525657654
120360334.html,Скільки гривень штрафу накладено?,,0.5197266936302185
109739929.html,"Якого дня, місяця та року відбувся злочин?", 09.09.2022,0.7816653847694397
109739929.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.5196730494499207
109739929.html,Яка посада військовослужбовця?, командира відділення інженерної техніки,0.16045892238616943
109739929.html,Яке звання військовослужбовця?, молодший сержант,0.5705416798591614
109739929.html,Як довго тривав злочин?,,0.6142250299453735
109739929.html,Скільки гривень штрафу накладено?, 2 465,0.4869705140590668
106659467.html,"Якого дня, місяця та року відбувся злочин?", 29.09.2022,0.32694339752197266
106659467.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.8148442506790161
106659467.html,Яка посада військовослужбовця?, за мобілізацією,0.6409251093864441
106659467.html,Яке звання військовослужбовця?, за мобілізацією,0.3768089711666107
106659467.html,Як довго тривав злочин?,,0.332760214805603
106659467.html,Скільки гривень штрафу накладено?, 2465,0.859430193901062
109187824.html,"Якого дня, місяця та року відбувся злочин?", 28.01.2023,0.29868319630622864
109187824.html,Яка військова частина розглядається у справі?, НОМЕР_4,0.70255446434021
109187824.html,Яка посада військовослужбовця?," строкової служби,",0.37141793966293335
109187824.html,Яке звання військовослужбовця?,,0.49736127257347107
109187824.html,Як довго тривав злочин?,,0.7297613024711609
109187824.html,Скільки гривень штрафу накладено?,,0.2680996060371399
105722141.html,"Якого дня, місяця та року відбувся злочин?",,0.038475245237350464
105722141.html,Яка військова частина розглядається у справі?, НОМЕР_2,0.5860397219657898
105722141.html,Яка посада військовослужбовця?, сержанта 16 запасної роти,0.6852207779884338
105722141.html,Яке звання військовослужбовця?, старший солдат,0.6429972648620605
105722141.html,Як довго тривав злочин?,,0.5474633574485779
105722141.html,Скільки гривень штрафу накладено?,,0.444908082485199
121318507.html,"Якого дня, місяця та року відбувся злочин?", 02 вересня,0.3566659092903137
121318507.html,Яка військова частина розглядається у справі?, мотопіхотного батальйону,0.3630724549293518
121318507.html,Яка посада військовослужбовця?," солдат,",0.6447740793228149
121318507.html,Яке звання військовослужбовця?," солдат,",0.7198072671890259
121318507.html,Як довго тривав злочин?,,0.28166183829307556
121318507.html,Скільки гривень штрафу накладено?," 8500,00",0.5663853287696838
100601082.html,"Якого дня, місяця та року відбувся злочин?", 27.09.2021,0.4648771584033966
100601082.html,Яка військова частина розглядається у справі?, Військової частини НОМЕР_1,0.768710196018219
100601082.html,Яка посада військовослужбовця?, кухара їдальні,0.5415469408035278
100601082.html,Яке звання військовослужбовця?, кухара їдальні,0.2747577726840973
100601082.html,Як довго тривав злочин?," до трьох діб,",0.24313586950302124
100601082.html,Скільки гривень штрафу накладено?,,0.5410910248756409
107576620.html,"Якого дня, місяця та року відбувся злочин?", 21.11.2022,0.5842781066894531
107576620.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.7306026220321655
107576620.html,Яка посада військовослужбовця?, капітан,0.9846051335334778
107576620.html,Яке звання військовослужбовця?, капітан,0.9954215884208679
107576620.html,Як довго тривав злочин?,,0.03429880738258362
107576620.html,Скільки гривень штрафу накладено?, 2465,0.7075626254081726
108166930.html,"Якого дня, місяця та року відбувся злочин?", 23 грудня,0.34729668498039246
108166930.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.4525408446788788
108166930.html,Яка посада військовослужбовця?," старший стрілець третього стрілецького відділення,",0.38707661628723145
108166930.html,Яке звання військовослужбовця?," старший стрілець третього стрілецького відділення,",0.3852573037147522
108166930.html,Як довго тривав злочин?,,0.5400218963623047
108166930.html,Скільки гривень штрафу накладено?, 2 465,0.3338683247566223
104058877.html,"Якого дня, місяця та року відбувся злочин?", 20.04.2022,0.3467485010623932
104058877.html,Яка військова частина розглядається у справі?, НОМЕР_2,0.465074747800827
104058877.html,Яка посада військовослужбовця?, солдата військової частини,0.4809487760066986
104058877.html,Яке звання військовослужбовця?, солдата,0.36991098523139954
104058877.html,Як довго тривав злочин?, дві доби.,0.7042183876037598
104058877.html,Скільки гривень штрафу накладено?, 2 465,0.6675223708152771
108128263.html,"Якого дня, місяця та року відбувся злочин?", 02 грудня,0.16022811830043793
108128263.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.5556150674819946
108128263.html,Яка посада військовослужбовця?,,0.5778906345367432
108128263.html,Яке звання військовослужбовця?,,0.7027782201766968
108128263.html,Як довго тривав злочин?,,0.5535468459129333
108128263.html,Скільки гривень штрафу накладено?, 2 465,0.5320718884468079
112935827.html,"Якого дня, місяця та року відбувся злочин?", 12 серпня,0.2920077443122864
112935827.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.5410516262054443
112935827.html,Яка посада військовослужбовця?, стрільцем,0.40296268463134766
112935827.html,Яке звання військовослужбовця?, стрільцем,0.36086374521255493
112935827.html,Як довго тривав злочин?," 27 годин,",0.4439351260662079
112935827.html,Скільки гривень штрафу накладено?, 17 000,0.6323332786560059
105406918.html,"Якого дня, місяця та року відбувся злочин?", 22 липня,0.2570757567882538
105406918.html,Яка військова частина розглядається у справі?, 2 роти морської піхоти,0.4440959692001343
105406918.html,Яка посада військовослужбовця?, командира 1 гранатометного відділення,0.44352996349334717
105406918.html,Яке звання військовослужбовця?, командира 1 гранатометного відділення,0.6327407956123352
105406918.html,Як довго тривав злочин?,,0.7864601016044617
105406918.html,Скільки гривень штрафу накладено?,,0.5196082592010498
105548129.html,"Якого дня, місяця та року відбувся злочин?", 29.07.2022,0.2142106592655182
105548129.html,Яка військова частина розглядається у справі?, в/ч НОМЕР_1,0.695313572883606
105548129.html,Яка посада військовослужбовця?, за контрактом,0.5827965140342712
105548129.html,Яке звання військовослужбовця?,,0.47738930583000183
105548129.html,Як довго тривав злочин?,,0.4591704308986664
105548129.html,Скільки гривень штрафу накладено?, 2465,0.8365843296051025
106047823.html,"Якого дня, місяця та року відбувся злочин?",,0.11437903344631195
106047823.html,Яка військова частина розглядається у справі?, в/ч НОМЕР_1,0.6805328130722046
106047823.html,Яка посада військовослужбовця?, в/ч НОМЕР_1,0.6101692914962769
106047823.html,Яке звання військовослужбовця?,,0.14089909195899963
106047823.html,Як довго тривав злочин?,,0.6504578590393066
106047823.html,Скільки гривень штрафу накладено?," 2465,00",0.4955295920372009
107544301.html,"Якого дня, місяця та року відбувся злочин?", 31 жовтня,0.25295576453208923
107544301.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.15401847660541534
107544301.html,Яка посада військовослужбовця?," кухар,",0.9411935210227966
107544301.html,Яке звання військовослужбовця?," кухар,",0.5787853598594666
107544301.html,Як довго тривав злочин?,,0.5398309230804443
107544301.html,Скільки гривень штрафу накладено?, 2 465,0.40785881876945496
108378199.html,"Якого дня, місяця та року відбувся злочин?", 17.10.2022;,0.5199113488197327
108378199.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.32610899209976196
108378199.html,Яка посада військовослужбовця?, сапером,0.20712177455425262
108378199.html,Яке звання військовослужбовця?, сержанта,0.6590915322303772
108378199.html,Як довго тривав злочин?,,0.5741890072822571
108378199.html,Скільки гривень штрафу накладено?, 2550,0.6793670058250427
109724161.html,"Якого дня, місяця та року відбувся злочин?", 17.10.2022 року до 10:00 години 18.10.2022 року.,0.30617383122444153
109724161.html,Яка військова частина розглядається у справі?,,0.6024183630943298
109724161.html,Яка посада військовослужбовця?,,0.10392699390649796
109724161.html,Яке звання військовослужбовця?,,0.7144144177436829
109724161.html,Як довго тривав злочин?,,0.25421375036239624
109724161.html,Скільки гривень штрафу накладено?,,0.5772160291671753
104346646.html,"Якого дня, місяця та року відбувся злочин?", 15 лютого,0.511044442653656
104346646.html,Яка військова частина розглядається у справі?, військової частини НОМЕР_1,0.27585527300834656
104346646.html,Яка посада військовослужбовця?, старшого водія,0.3796749711036682
104346646.html,Яке звання військовослужбовця?, старшого водія,0.25153782963752747
104346646.html,Як довго тривав злочин?,,0.2242349535226822
104346646.html,Скільки гривень штрафу накладено?,,0.41344740986824036
107000729.html,"Якого дня, місяця та року відбувся злочин?", 02.10.2022,0.3963385224342346
107000729.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.6570940017700195
107000729.html,Яка посада військовослужбовця?, кулеметника 3 стрілецького відділення,0.4200438857078552
107000729.html,Яке звання військовослужбовця?, кулеметника,0.3260205090045929
107000729.html,Як довго тривав злочин?,,0.6090472936630249
107000729.html,Скільки гривень штрафу накладено?,,0.39643430709838867
110661425.html,"Якого дня, місяця та року відбувся злочин?"," 30.12.2022,",0.2439185231924057
110661425.html,Яка військова частина розглядається у справі?, НОМЕР_2,0.6804506182670593
110661425.html,Яка посада військовослужбовця?, солдат,0.8855257630348206
110661425.html,Яке звання військовослужбовця?, військова частина НОМЕР_2,0.22953739762306213
110661425.html,Як довго тривав злочин?," 30.12.2022,",0.49337056279182434
110661425.html,Скільки гривень штрафу накладено?,,0.5979655981063843
110326508.html,"Якого дня, місяця та року відбувся злочин?", 20.11.2022,0.3632059693336487
110326508.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.873110830783844
110326508.html,Яка посада військовослужбовця?,,0.2759079039096832
110326508.html,Яке звання військовослужбовця?,,0.7112759947776794
110326508.html,Як довго тривав злочин?,,0.5298710465431213
110326508.html,Скільки гривень штрафу накладено?,,0.21953828632831573
108288806.html,"Якого дня, місяця та року відбувся злочин?", 07.11.2022,0.2821222245693207
108288806.html,Яка військова частина розглядається у справі?,,0.10391692817211151
108288806.html,Яка посада військовослужбовця?, солдата строкової служби,0.7474895119667053
108288806.html,Яке звання військовослужбовця?, солдата строкової служби,0.6627967357635498
108288806.html,Як довго тривав злочин?,,0.5567535758018494
108288806.html,Скільки гривень штрафу накладено?, 2465,0.9281690120697021
109077338.html,"Якого дня, місяця та року відбувся злочин?", 20 лютого,0.2876349985599518
109077338.html,Яка військова частина розглядається у справі?, НОМЕР_2,0.8389075994491577
109077338.html,Яка посада військовослужбовця?, солдата,0.42923933267593384
109077338.html,Яке звання військовослужбовця?, солдата,0.6609178781509399
109077338.html,Як довго тривав злочин?, до десяти діб.,0.1532604694366455
109077338.html,Скільки гривень штрафу накладено?,,0.3907913863658905
107324389.html,"Якого дня, місяця та року відбувся злочин?",,0.273942768573761
107324389.html,Яка військова частина розглядається у справі?, Військової частини НОМЕР_1,0.6357709169387817
107324389.html,Яка посада військовослужбовця?,,0.6921787858009338
107324389.html,Яке звання військовослужбовця?,,0.7170447707176208
107324389.html,Як довго тривав злочин?,,0.797093391418457
107324389.html,Скільки гривень штрафу накладено?,,0.4986550807952881
102144387.html,"Якого дня, місяця та року відбувся злочин?",,0.09856228530406952
102144387.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.40681299567222595
102144387.html,Яка посада військовослужбовця?," солдат,",0.8460900187492371
102144387.html,Яке звання військовослужбовця?," солдат,",0.9850415587425232
102144387.html,Як довго тривав злочин?," до десяти діб,",0.5541799664497375
102144387.html,Скільки гривень штрафу накладено?, 4845,0.6029486060142517
